rank,candidate_name,final_score,recommendation,matched_skill_count,missing_skill_count,matched_skills,missing_skills,candidate_summary,recruiter_note
1,resume_5,74.48,Moderately Suitable,14,2,"['data visualization', 'sql', 'python', 'problem solving', 'machine learning', 'numpy', 'github', 'pandas', 'scikit-learn', 'excel', 'statistics', 'matplotlib', 'tableau', 'communication']","['data analysis', 'power bi']",resume_5 is a reasonably suitable candidate with a score of 74.48. The candidate matches 14 job-relevant skills but still lacks 2 important skills.,"Candidate resume_5 received a final SmartHire score of 74.48 and is classified as 'Moderately Suitable'. Candidate is missing a few important skills: data analysis, power bi."
2,resume_5,74.48,Moderately Suitable,14,2,"['data visualization', 'sql', 'python', 'problem solving', 'machine learning', 'numpy', 'github', 'pandas', 'scikit-learn', 'excel', 'statistics', 'matplotlib', 'tableau', 'communication']","['data analysis', 'power bi']",resume_5 is a reasonably suitable candidate with a score of 74.48. The candidate matches 14 job-relevant skills but still lacks 2 important skills.,"Candidate resume_5 received a final SmartHire score of 74.48 and is classified as 'Moderately Suitable'. Candidate is missing a few important skills: data analysis, power bi."
3,resume_1,60.44,Moderately Suitable,10,6,"['sql', 'python', 'machine learning', 'numpy', 'pandas', 'scikit-learn', 'excel', 'data analysis', 'matplotlib', 'communication']","['data visualization', 'problem solving', 'tableau', 'statistics', 'github', 'power bi']",resume_1 is a reasonably suitable candidate with a score of 60.44. The candidate matches 10 job-relevant skills but still lacks 6 important skills.,"Candidate resume_1 received a final SmartHire score of 60.44 and is classified as 'Moderately Suitable'. Candidate lacks several important skills required for the role, such as: data visualization, problem solving, tableau, statistics, github."
4,resume_1,60.44,Moderately Suitable,10,6,"['sql', 'python', 'machine learning', 'numpy', 'pandas', 'scikit-learn', 'excel', 'data analysis', 'matplotlib', 'communication']","['data visualization', 'problem solving', 'tableau', 'statistics', 'github', 'power bi']",resume_1 is a reasonably suitable candidate with a score of 60.44. The candidate matches 10 job-relevant skills but still lacks 6 important skills.,"Candidate resume_1 received a final SmartHire score of 60.44 and is classified as 'Moderately Suitable'. Candidate lacks several important skills required for the role, such as: data visualization, problem solving, tableau, statistics, github."
5,resume_3,56.44,Moderately Suitable,10,6,"['data visualization', 'sql', 'python', 'machine learning', 'numpy', 'pandas', 'excel', 'statistics', 'tableau', 'power bi']","['problem solving', 'scikit-learn', 'data analysis', 'matplotlib', 'github', 'communication']",resume_3 is a reasonably suitable candidate with a score of 56.44. The candidate matches 10 job-relevant skills but still lacks 6 important skills.,"Candidate resume_3 received a final SmartHire score of 56.44 and is classified as 'Moderately Suitable'. Candidate lacks several important skills required for the role, such as: problem solving, scikit-learn, data analysis, matplotlib, github."
6,resume_3,56.44,Moderately Suitable,10,6,"['data visualization', 'sql', 'python', 'machine learning', 'numpy', 'pandas', 'excel', 'statistics', 'tableau', 'power bi']","['problem solving', 'scikit-learn', 'data analysis', 'matplotlib', 'github', 'communication']",resume_3 is a reasonably suitable candidate with a score of 56.44. The candidate matches 10 job-relevant skills but still lacks 6 important skills.,"Candidate resume_3 received a final SmartHire score of 56.44 and is classified as 'Moderately Suitable'. Candidate lacks several important skills required for the role, such as: problem solving, scikit-learn, data analysis, matplotlib, github."
7,resume_4,34.48,Low Match,6,10,"['python', 'problem solving', 'excel', 'data analysis', 'power bi', 'communication']","['data visualization', 'sql', 'machine learning', 'numpy', 'github', 'pandas', 'scikit-learn', 'statistics', 'matplotlib', 'tableau']",resume_4 is currently a low match for the role with a score of 34.48. The candidate matches only 6 relevant skills and is missing 10 important job skills.,"Candidate resume_4 received a final SmartHire score of 34.48 and is classified as 'Low Match'. Candidate lacks several important skills required for the role, such as: data visualization, sql, machine learning, numpy, github."
8,resume_4,34.48,Low Match,6,10,"['python', 'problem solving', 'excel', 'data analysis', 'power bi', 'communication']","['data visualization', 'sql', 'machine learning', 'numpy', 'github', 'pandas', 'scikit-learn', 'statistics', 'matplotlib', 'tableau']",resume_4 is currently a low match for the role with a score of 34.48. The candidate matches only 6 relevant skills and is missing 10 important job skills.,"Candidate resume_4 received a final SmartHire score of 34.48 and is classified as 'Low Match'. Candidate lacks several important skills required for the role, such as: data visualization, sql, machine learning, numpy, github."
9,resume_2,14.17,Low Match,3,13,"['sql', 'problem solving', 'communication']","['data visualization', 'python', 'machine learning', 'numpy', 'github', 'pandas', 'scikit-learn', 'excel', 'data analysis', 'statistics', 'matplotlib', 'tableau', 'power bi']",resume_2 is currently a low match for the role with a score of 14.17. The candidate matches only 3 relevant skills and is missing 13 important job skills.,"Candidate resume_2 received a final SmartHire score of 14.17 and is classified as 'Low Match'. Candidate lacks several important skills required for the role, such as: data visualization, python, machine learning, numpy, github."
10,resume_2,14.17,Low Match,3,13,"['sql', 'problem solving', 'communication']","['data visualization', 'python', 'machine learning', 'numpy', 'github', 'pandas', 'scikit-learn', 'excel', 'data analysis', 'statistics', 'matplotlib', 'tableau', 'power bi']",resume_2 is currently a low match for the role with a score of 14.17. The candidate matches only 3 relevant skills and is missing 13 important job skills.,"Candidate resume_2 received a final SmartHire score of 14.17 and is classified as 'Low Match'. Candidate lacks several important skills required for the role, such as: data visualization, python, machine learning, numpy, github."
